Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT1G30814	0	1	0	0	1	0
AT1G78930	54	88	25	71	44	7
AT1G71695	339	297	90	372	157	37
AT1G58983	0	0	0	0	0	0
AT1G12980	0	0	0	0	0	0
AT1G45223	0	0	0	0	0	0
AT1G56250	3	4	0	149	164	30
AT1G66852	0	0	0	0	0	0
AT1G69810	756	911	319	893	434	74
AT1G72450	159	186	63	510	273	52
AT1G76280	194	186	60	286	125	29
AT1G65630	0	0	0	0	0	0
AT1G71390	0	0	0	0	0	0
AT1G56233	0	0	0	0	0	0
AT1G15210	2496	2362	816	2579	1233	307
AT1G15250	113	92	29	143	66	8
AT1G79700	146	92	53	65	21	8
AT1G62895	0	0	0	0	0	0
AT1G73360	17	15	5	28	9	2
AT1G16360	6	23	3	20	5	2
AT1G10225	0	0	0	0	0	0
AT1G26670	1105	1283	411	1040	490	103
AT1G34855	0	0	0	0	0	0
AT1G52200	3534	3613	1161	2123	1145	172
AT1G57800	1	0	0	0	0	0
AT1G69460	915	872	295	1303	680	149
AT1G04310	118	132	32	163	98	21
AT1G08080	0	0	0	2	4	1
AT1G75550	6	7	1	5	2	0
AT1G71890	0	0	0	0	0	0
AT1G05430	204	218	61	360	164	32
AT1G80870	579	682	282	592	199	40
AT1G75310	408	438	177	548	258	39
AT1G02010	48	58	20	84	45	9
AT1G47900	438	518	169	785	319	74
AT1G14315	0	0	0	0	0	0
AT1G26760	37	23	7	55	19	6
AT1G05250	16	3	3	3	1	0
AT1G67260	0	0	0	0	0	0
AT1G24575	21	37	8	184	149	39
AT1G12790	88	87	22	74	38	6
AT1G04850	1402	1153	433	2627	1140	218
AT1G31760	46	37	9	73	25	5
AT1G33250	488	516	163	436	235	51
AT1G74000	33	37	4	63	30	4
AT1G55580	82	69	19	83	39	10
AT1G53903	0	0	0	0	0	0
AT1G19715	135	145	43	126	101	12
AT1G69430	9	2	1	19	6	0
AT1G53340	71	106	30	101	41	6
AT1G29890	284	285	99	438	192	49
AT1G80290	184	158	55	191	82	16
AT1G56540	31	45	10	62	26	5
AT1G48650	594	588	220	755	348	83
AT1G22670	0	0	0	0	0	0
AT1G07030	277	299	75	478	258	49
AT1G69860	0	0	1	0	0	0
AT1G10120	262	279	84	253	109	25
AT1G43650	118	77	40	122	47	13
AT1G09960	169	137	54	395	152	59
AT1G51990	0	0	0	0	0	0
AT1G53625	75	70	22	317	249	75
AT1G63360	12	11	4	23	9	1
AT1G33330	86	90	30	120	39	4
AT1G74929	0	0	0	0	0	0
AT1G63430	577	673	222	622	342	67
AT1G80720	62	79	25	117	55	18
AT1G69770	329	257	91	435	183	59
AT1G08460	360	340	123	408	164	35
AT1G78710	0	0	0	4	2	0
AT1G08610	48	77	29	92	68	8
AT1G17540	0	5	2	2	1	0
AT1G27380	47	30	26	33	30	0
AT1G58643	0	0	0	0	0	0
AT1G48953	0	0	0	0	0	0
AT1G51440	9	3	2	29	14	6
AT1G18871	0	0	0	0	0	0
AT1G25210	0	0	0	0	0	0
AT1G21610	463	401	170	577	269	49
AT1G79710	304	248	107	565	283	57
AT1G80840	31	27	3	237	240	51
AT1G71300	0	0	0	0	1	0
AT1G49490	59	33	17	64	22	3
AT1G23645	0	0	0	0	0	0
AT1G09795	127	72	30	189	95	19
AT1G48690	96	171	51	134	61	11
AT1G49570	39	717	38	91	63	29
AT1G68470	42	43	10	196	127	17
AT1G75580	29	19	8	16	17	5
AT1G26400	0	0	0	0	0	0
AT1G72980	1	1	0	0	0	0
AT1G59970	136	155	43	457	184	32
AT1G11520	0	0	0	0	0	0
AT1G30640	330	464	162	596	288	66
AT1G26440	1277	1186	506	1155	600	93
AT1G51320	0	0	0	0	0	0
AT1G22070	797	783	289	784	383	76
AT1G26700	30	34	9	7	4	3
AT1G73603	0	0	0	0	0	0
AT1G55650	0	0	0	0	0	0
AT1G78180	53	56	22	54	24	8
AT1G55928	0	0	0	0	0	0
AT1G29880	881	847	257	1609	788	215
AT1G53645	330	261	79	519	258	63
AT1G06240	77	58	24	95	51	10
AT1G72330	230	271	116	431	246	77
AT1G20840	2811	2150	893	4722	1967	304
AT1G45050	119	117	41	160	77	17
AT1G52500	144	128	67	226	125	22
AT1G10430	335	391	102	457	184	48
AT1G05670	101	117	46	124	49	13
AT1G64110	46	86	20	202	127	18
AT1G65220	959	961	328	1097	525	146
AT1G13635	108	94	71	113	60	15
AT1G54950	4	6	3	12	1	0
AT1G55730	387	431	165	621	272	60
AT1G07310	545	374	109	741	320	49
AT1G77230	77	71	27	100	43	10
AT1G52400	12	3	3	18	17	1
AT1G16430	28	36	13	33	21	7
AT1G27752	640	535	216	747	354	73
AT1G14880	0	0	0	0	0	0
AT1G11190	134	158	27	363	171	21
AT1G43100	0	0	0	0	0	0
AT1G26650	231	251	83	296	126	35
AT1G54420	0	0	0	0	0	0
AT1G34640	7	4	0	7	8	0
AT1G50310	4	5	1	5	4	0
AT1G49430	425	447	163	792	426	56
AT1G74240	43	53	18	120	61	22
AT1G01760	56	47	20	46	30	4
AT1G61160	0	0	0	0	0	0
AT1G47480	513	551	180	946	429	86
AT1G65820	1652	1862	573	4052	2048	563
AT1G22900	0	6	0	33	12	7
AT1G76820	65	35	33	30	29	2
AT1G52080	181	267	83	494	252	59
AT1G35180	14	10	4	14	4	1
AT1G30070	126	158	37	514	341	74
AT1G35210	12	15	3	162	153	35
AT1G10410	1093	1280	338	1847	1031	210
AT1G73740	140	120	42	246	154	19
AT1G53350	86	86	27	89	42	4
AT1G34110	462	362	142	553	268	60
AT1G17240	86	109	42	94	56	11
AT1G61730	371	380	109	676	320	98
AT1G29260	443	354	131	432	210	43
AT1G33890	4	14	2	16	8	0
AT1G08040	221	209	75	436	221	50
AT1G63522	0	1	0	0	0	0
AT1G08810	3	5	0	7	0	0
AT1G09210	2021	1673	412	2652	1556	294
AT1G70080	4	2	1	1	0	0
AT1G10522	33	47	16	45	26	7
AT1G04570	8	12	3	37	13	3
AT1G01830	233	194	61	186	71	25
AT1G12340	0	0	0	0	0	0
AT1G67590	90	64	22	61	35	10
AT1G69080	67	65	31	42	20	1
AT1G31400	0	0	0	0	0	0
AT1G74385	0	0	0	0	0	0
AT1G73300	205	299	84	25	23	1
AT1G05760	0	0	0	0	0	0
AT1G30530	39	34	5	184	80	15
AT1G12480	0	0	0	0	0	1
AT1G76850	1026	968	338	1291	628	112
AT1G73570	26	24	8	42	20	4
AT1G44130	17	20	10	140	53	14
AT1G67340	227	362	73	519	255	48
AT1G80315	0	0	0	0	0	0
AT1G43666	0	0	0	0	0	0
AT1G08630	56	37	11	21	6	3
AT1G66150	792	779	285	565	306	66
